Dataset,Strategy,Last task 0,Last task 1,Last task 2,Last task 3,Last task 4
CIFAR10,ewc,-0.055,0.01,-0.07,0.078,0.006
CIFAR10,lwf,0.036,-0.044,-0.029,0.07,0.129
CIFAR10,replay,0.363,0.196,0.203,-0.039,0.323
CIFAR10,agem,0.049,-0.06,0.085,0.082,-0.012
CIFAR10,mir,0.044,0.094,0.306,0.133,0.231
CIFAR10,gss,0.266,0.135,0.205,0.289,0.298
CIFAR10,cope,0.02,0.103,0.104,0.127,0.034
CIFAR10-random,ewc,0.036,0.168,-0.001,0.014,0.003
CIFAR10-random,lwf,-0.082,0.143,0.017,0.016,0.014
CIFAR10-random,replay,0.052,0.088,0.132,0.129,0.324
CIFAR10-random,agem,0.041,0.013,-0.035,0.01,0.104
CIFAR10-random,mir,0.125,0.189,0.085,-0.004,0.144
CIFAR10-random,gss,0.222,0.028,0.122,0.103,0.044
CIFAR10-random,cope,0.011,-0.028,0.09,0.039,0.012
M2I,ewc,0.002,0.226,0.033,-0.012,0.086
M2I,lwf,0.176,0.17,0.191,0.086,0.007
M2I,replay,0.169,0.287,0.15,0.288,0.217
M2I,agem,-0.029,-0.007,0.075,0.104,0.261
M2I,mir,0.363,0.355,0.062,0.424,0.347
M2I,gss,0.129,0.096,0.028,0.076,0.053
M2I,cope,0.102,0.082,0.28,0.053,0.041
