Dataset,Strategy,Last task: 4,Last task: 0,Last task: 1,Last task: 2,Last task: 3
CIFAR10,ewc,,,,,
CIFAR10,lwf,0.031609239117422465,,,,
CIFAR10,replay,3.926869364192761e-08,5.379231754977963e-10,0.0010503664257736959,0.0007102146216211267,
CIFAR10,agem,,,,,
CIFAR10,mir,0.00011140258858293927,,,2.0674162401980056e-07,0.026717085146006868
CIFAR10,gss,4.4303703080275107e-07,7.5263406494723935e-06,0.025220823015140142,0.0006127967487133807,1.020036072237487e-06
CIFAR10,cope,,,,,0.03527733985473302
CIFAR10-random,ewc,,,0.005258428380012823,,
CIFAR10-random,lwf,,,0.017271344653643963,,
CIFAR10-random,replay,3.732620527900302e-08,,,0.02781357144737971,0.03157574946816869
CIFAR10-random,agem,,,,,
CIFAR10-random,mir,0.016899868897070597,0.038660092727251356,0.001581074649688857,,
CIFAR10-random,gss,,0.00020733239918751723,,0.04223950994657384,
CIFAR10-random,cope,,,,,
M2I,ewc,,,0.00015521028865589752,,
M2I,lwf,,0.003411671171902173,0.004533442618837002,0.0013979483136113606,
M2I,replay,0.0002767860172333916,0.004907057491478458,1.2395553552016242e-06,0.012614813500699427,1.0902306473781859e-06
M2I,agem,1.1496455207754045e-05,,,,
M2I,mir,3.253381351036587e-09,4.805122586448728e-10,1.2773286036023554e-09,,1.864908619230758e-13
M2I,gss,,0.03247106969051767,,,
M2I,cope,,,,2.218023535436719e-06,
